id_commande,id_client,id_produit,date_commande,quantite,prix_unitaire,statut,ville_livraison,mode_paiement,id_livreur,date_livraison
CMD00020,CLT0721,P024,21/10/2022,4,6699,LIVRE,marrakech,cash,LIV09,27/10/2022
CMD00021,CLT0269,P001,02/09/2024,10,5945,livre,Casablanca,COD,LIV10,04/09/2024
CMD00022,CLT0688,P080,04/10/2022,4,10931,retourné,TANGER,COD,LIV09,Oct 09 2022
CMD00023,CLT0269,P066,2022-06-19,8,9608,retourné,Tanger,COD,LIV27,2022-06-21
CMD00024,CLT0914,P057,07/09/2022,2,9080,retourné,Meknes,cash,LIV30,Sep 13 2022
CMD00025,CLT1213,P036,Sep 18 2023,8,2451,retourné,RABAT,COD,LIV13,19/09/2023
CMD00026,CLT1246,P044,08/09/2024,1,14019,LIVRE,agadir,carte,LIV24,Sep 12 2024
CMD00027,CLT1686,P100,11/05/2023,8,9757,KO,TANGER,carte,LIV16,2023-05-16
CMD00028,CLT1498,P043,23/12/2023,7,3612,livré,Rabat,COD,LIV05,24/12/2023
CMD00029,CLT1183,P100,2022-11-18,9,9749,livré,FES,COD,LIV07,2022-11-25
CMD00030,CLT1460,P069,Aug 11 2024,7,9456,annulé,Tanger,virement,LIV29,12/08/2024
CMD00031,CLT0136,P078,2024-05-07,9,11374,OK,Tanger,COD,LIV23,May 12 2024
CMD00032,CLT0100,P024,Mar 12 2024,4,2422,en_cours,OUJDA,virement,LIV08,2024-03-18
CMD00033,CLT1102,P098,Nov 30 2022,6,3524,annulé,FES,carte,LIV23,03/12/2022
CMD00034,CLT0936,P007,2022-03-20,4,13704,OK,Tanger,cash,LIV19,23/03/2022
CMD00035,CLT1971,P073,Dec 03 2023,10,7974,livre,agadir,carte,LIV19,Dec 07 2023
CMD00036,CLT1274,P067,10/10/2023,6,13170,OK,Fes,cash,LIV12,17/10/2023
CMD00037,CLT0653,P088,2024-09-22,3,10441,KO,casablanca,COD,LIV29,2024-09-23
CMD00038,CLT1882,P004,May 06 2022,6,4878,en_cours,Meknes,virement,LIV06,08/05/2022
CMD00039,CLT0621,P089,Sep 05 2024,8,6759,retourné,OUJDA,carte,LIV17,08/09/2024
CMD00040,CLT1735,P099,14/08/2024,5,8152,livré,Tanger,cash,LIV13,Aug 21 2024
CMD00041,CLT0889,P085,May 25 2022,2,7289,livré,Tnja,cash,LIV29,May 30 2022
CMD00042,CLT0550,P011,Feb 18 2023,1,7534,livré,meknès,virement,LIV11,Feb 20 2023
CMD07922,CLT1327,P085,Feb 06 2023,8,6079,LIVRE,Rabat,COD,LIV08,Feb 07 2023
CMD00044,CLT0536,P015,Feb 17 2024,9,14418,LIVRE,FES,COD,LIV26,21/02/2024
CMD00045,CLT0042,P074,16/06/2022,1,10062,retourné,tanger,COD,LIV09,Jun 19 2022
CMD00046,CLT0711,P094,21/03/2023,7,6950,OK,TNG,carte,LIV26,Mar 25 2023
CMD00047,CLT0117,P064,2024-05-16,7,8109,annulé,Rabat,carte,LIV24,20/05/2024
CMD00048,CLT0583,P005,Aug 30 2023,8,3352,LIVRE,agadir,COD,LIV01,2023-09-05
CMD00049,CLT1223,P057,18/01/2023,4,6949,annulé,TNG,COD,LIV09,Jan 19 2023
CMD00050,CLT1363,P070,Dec 10 2024,8,8540,annulé,agadir,cash,LIV08,2024-12-17
CMD00051,CLT1105,P087,Oct 09 2022,8,12262,OK,Marrakech,cash,LIV21,Oct 11 2022
CMD00052,CLT0412,P020,Jul 28 2022,3,13809,livre,Agadir,cash,LIV10,01/08/2022
CMD00053,CLT1644,P042,2024-07-19,1,669,retourné,Tnja,cash,LIV24,Jul 20 2024
CMD00054,CLT0505,P072,24/09/2023,10,10645,en_cours,TANGER,virement,LIV11,Sep 27 2023
CMD00055,CLT1968,P056,Aug 10 2024,2,12018,livre,tanger,COD,LIV02,11/08/2024
CMD00056,CLT1053,P019,2022-07-29,1,12298,en_cours,Marrakech,virement,LIV24,Aug 02 2022
CMD00057,CLT0884,P012,Oct 01 2023,5,9696,KO,OUJDA,virement,LIV09,07/10/2023
CMD00058,CLT1373,P076,2023-09-16,1,3883,KO,meknès,virement,LIV17,2023-09-22
CMD00059,CLT1643,P088,2023-12-20,3,13682,livré,CASABLANCA,carte,LIV19,2023-12-23
CMD00060,CLT0141,P067,04/05/2024,1,4453,retourné,Fes,virement,LIV05,May 08 2024
CMD00061,CLT0515,P090,2023-08-11,2,8852,OK,Marrakech,cash,LIV28,Aug 14 2023
CMD00062,CLT1524,P067,18/06/2024,6,9165,livré,Meknes,cash,LIV25,Jun 23 2024
CMD00063,CLT1878,P056,18/10/2023,2,12880,OK,marrakech,virement,LIV29,19/10/2023
CMD00064,CLT0025,P038,2022-03-19,1,14824,LIVRE,CASABLANCA,cash,LIV09,20/03/2022
CMD00065,CLT1209,P006,2023-07-14,7,5787,DONE,Fès,cash,LIV20,2023-07-17
CMD00066,CLT1366,P068,2023-10-07,1,9555,retourné,Tnja,virement,LIV17,11/10/2023
CMD00067,CLT0370,P031,Jul 16 2023,8,7815,livre,Marrakech,cash,LIV25,17/07/2023
CMD00068,CLT0112,P008,20/01/2024,8,7198,livré,Tanger,COD,LIV17,Jan 21 2024
CMD00069,CLT1939,P015,Jul 13 2024,8,11272,en_cours,Rabat,cash,LIV11,Jul 14 2024
CMD00070,CLT1261,P013,2024-04-25,3,5682,DONE,Meknes,COD,LIV26,2024-04-30
CMD00071,CLT0745,P074,2023-06-27,9,14604,LIVRE,Fes,COD,LIV18,2023-07-01
CMD00072,CLT0455,P024,02/11/2023,6,4587,KO,Fès,COD,LIV15,09/11/2023
CMD00073,CLT0758,P022,2024-05-02,5,11869,OK,OUJDA,virement,LIV02,May 04 2024
CMD00074,CLT0156,P005,2023-12-12,3,9464,LIVRE,Marrakech,virement,LIV06,Dec 13 2023
CMD00075,CLT0246,P083,2022-02-08,4,10823,livré,Tnja,cash,LIV03,12/02/2022
CMD00076,CLT1960,P061,Aug 13 2022,2,13026,en_cours,Casablanca,COD,LIV10,2022-08-17
CMD00077,CLT1486,P088,Jul 16 2023,2,7665,livre,meknès,virement,LIV01,22/07/2023
CMD00078,CLT0530,P072,2024-05-17,2,1793,livre,Tanger,virement,LIV16,2024-05-23
CMD00079,CLT1710,P033,2023-05-14,8,9255,OK,Meknes,cash,LIV25,May 17 2023
CMD00080,CLT1389,P095,17/07/2023,6,12139,OK,OUJDA,virement,LIV23,23/07/2023
CMD00081,CLT0956,P073,05/11/2024,5,3330,KO,Fes,COD,LIV30,2024-11-12
CMD00082,CLT0302,P036,2022-12-16,5,7703,LIVRE,Marrakech,carte,LIV16,Dec 19 2022
CMD00083,CLT1439,P013,2024-10-19,8,4482,retourné,casablanca,carte,LIV18,Oct 23 2024
CMD00084,CLT1739,P072,21/03/2023,9,8948,OK,FES,virement,LIV14,Mar 24 2023
CMD00085,CLT1197,P020,19/12/2024,3,5061,annulé,meknès,cash,LIV14,26/12/2024
CMD34583,CLT0349,P049,24/10/2023,10,13119,retourné,tanger,COD,LIV28,Oct 25 2023
CMD00087,CLT0560,P020,03/05/2023,1,6490,retourné,Fes,cash,LIV16,2023-05-05
CMD00088,CLT0767,P100,26/12/2023,10,5324,KO,meknès,carte,LIV27,28/12/2023
CMD00089,CLT1778,P035,Jan 24 2023,10,2541,KO,Tanger,carte,LIV10,Jan 29 2023
CMD00090,CLT1013,P030,30/06/2023,6,7444,en_cours,Rabat,carte,LIV18,02/07/2023
CMD00091,CLT1715,P090,2024-06-30,3,14162,retourné,tanger,COD,LIV29,07/07/2024
CMD00092,CLT1849,P074,2023-12-31,1,2427,retourné,tanger,virement,LIV12,03/01/2024
CMD00093,CLT0503,P079,2022-01-14,4,4970,retourné,Tanger,cash,LIV02,Jan 20 2022
CMD00094,CLT1728,P060,16/05/2022,2,3924,livre,RABAT,cash,LIV22,2022-05-21
CMD00095,CLT1301,P025,Mar 30 2024,4,11197,annulé,TANGER,virement,LIV10,Apr 05 2024
CMD00096,CLT1705,P079,17/10/2022,7,1482,livre,Fès,COD,LIV08,Oct 18 2022
CMD00097,CLT0401,P032,Aug 22 2024,6,8055,LIVRE,TANGER,carte,LIV26,Aug 24 2024
CMD00098,CLT1016,P021,Jun 08 2024,5,14965,OK,Agadir,cash,LIV24,Jun 12 2024
CMD00099,CLT0718,P018,May 27 2024,10,13506,LIVRE,Fes,cash,LIV07,May 28 2024
CMD00100,CLT0514,P018,2022-12-27,2,8136,LIVRE,TANGER,carte,LIV11,Dec 30 2022
CMD00101,CLT0644,P057,2023-12-20,10,13440,KO,meknès,COD,LIV27,Dec 24 2023
CMD00102,CLT1699,P010,2023-02-03,4,11207,LIVRE,CASABLANCA,cash,LIV19,2023-02-06
CMD00103,CLT1183,P033,23/07/2022,5,4934,OK,Agadir,cash,LIV09,2022-07-24
CMD00104,CLT1665,P011,2022-07-29,10,11206,LIVRE,Meknes,virement,LIV03,2022-08-02
CMD00105,CLT0022,P062,May 26 2022,3,6532,retourné,TNG,cash,LIV11,29/05/2022
CMD00106,CLT0651,P015,21/09/2022,7,2308,LIVRE,Marrakech,COD,LIV15,Sep 25 2022
CMD00107,CLT1827,P039,27/10/2024,1,2780,annulé,Oujda,carte,LIV19,01/11/2024
CMD00108,CLT1121,P093,2022-06-21,7,591,en_cours,Fès,carte,LIV12,28/06/2022
CMD00109,CLT1181,P098,2023-04-20,6,7472,retourné,Rabat,carte,LIV21,2023-04-23
CMD00110,CLT0598,P096,Dec 25 2023,3,3536,en_cours,TANGER,virement,LIV26,Dec 30 2023
CMD00111,CLT1414,P007,27/09/2023,2,1759,LIVRE,agadir,COD,LIV24,2023-10-03
CMD00112,CLT0597,P073,2023-11-04,10,4262,livre,Casablanca,carte,LIV08,08/11/2023
CMD00113,CLT1984,P050,2022-08-28,3,8775,DONE,CASABLANCA,carte,,2022-09-03
CMD00114,CLT1471,P031,12/01/2024,8,9568,retourné,Casablanca,virement,LIV19,13/01/2024
CMD00115,CLT0121,P039,2022-10-31,7,7827,livre,Agadir,virement,LIV17,05/11/2022
CMD00116,CLT1109,P013,18/03/2024,8,14077,retourné,CASABLANCA,cash,LIV18,2024-03-24
CMD00117,CLT1193,P036,2023-07-14,8,7707,LIVRE,Fès,cash,LIV27,2023-07-17
CMD00118,CLT0880,P011,26/01/2023,1,13433,livré,TANGER,carte,LIV26,01/02/2023
CMD00119,CLT0455,P018,06/08/2022,9,5748,en_cours,Tanger,cash,LIV21,2022-08-12
CMD00120,CLT0618,P098,May 03 2024,3,7955,LIVRE,RABAT,virement,LIV24,May 05 2024
CMD00121,CLT0277,P054,2024-07-31,4,11763,LIVRE,Casablanca,COD,,2024-08-07
CMD00122,CLT1475,P016,23/10/2024,3,3441,LIVRE,Meknes,COD,LIV28,25/10/2024
CMD00123,CLT0238,P025,15/08/2023,2,10067,DONE,Oujda,carte,LIV11,21/08/2023
CMD00124,CLT1495,P010,2024-02-15,10,2970,KO,Oujda,carte,LIV01,2024-02-16
CMD00125,CLT1046,P047,2023-06-20,8,14510,retourné,Oujda,carte,LIV16,Jun 23 2023
CMD00126,CLT1176,P088,Dec 03 2022,1,2722,en_cours,tanger,virement,LIV11,Dec 10 2022
CMD00127,CLT1632,P024,Apr 03 2022,5,2765,en_cours,Agadir,carte,LIV29,Apr 04 2022
CMD00128,CLT1138,P039,Jul 27 2023,2,998,OK,agadir,carte,LIV21,Jul 31 2023
CMD00129,CLT1263,P004,2022-07-26,6,3018,retourné,Rabat,virement,LIV23,Jul 30 2022
CMD00130,CLT1110,P090,24/03/2023,1,513,LIVRE,TANGER,virement,LIV02,25/03/2023
CMD00131,CLT1835,P017,27/06/2022,1,10878,LIVRE,Tnja,COD,LIV13,Jun 30 2022
CMD00132,CLT0205,P031,May 29 2023,2,10132,LIVRE,Tnja,carte,LIV27,2023-06-05
CMD00133,CLT0123,P100,Dec 05 2023,5,3872,livré,Casablanca,virement,LIV02,Dec 06 2023
CMD00134,CLT1480,P028,2023-11-24,6,1612,livre,Agadir,cash,LIV13,Nov 25 2023
CMD00135,CLT1438,P054,Oct 23 2023,2,10240,livre,meknès,carte,LIV06,30/10/2023
CMD00136,CLT1855,P023,May 19 2022,4,4807,retourné,Fes,COD,LIV26,2022-05-23
CMD00137,CLT1261,P060,31/10/2022,6,14592,en_cours,CASABLANCA,cash,LIV19,2022-11-03
CMD00138,CLT0913,P064,16/11/2024,2,3809,LIVRE,Tnja,virement,LIV04,17/11/2024
CMD00139,CLT1433,P087,27/04/2024,10,10773,annulé,tanger,carte,LIV03,2024-05-01
CMD00140,CLT0718,P064,Jan 22 2024,6,10911,en_cours,Meknes,virement,LIV02,25/01/2024
CMD00141,CLT0001,P021,12/11/2023,6,9676,KO,FES,COD,LIV29,18/11/2023
CMD00142,CLT1739,P052,27/10/2023,5,1930,livré,tanger,cash,LIV07,2023-10-29
CMD00143,CLT1109,P001,18/04/2024,9,10568,KO,TANGER,cash,LIV17,25/04/2024
CMD00144,CLT1937,P038,30/03/2024,2,1422,OK,Fès,COD,LIV04,2024-04-04
CMD00145,CLT0901,P071,2023-09-12,3,2815,OK,Casablanca,cash,LIV02,Sep 13 2023
CMD00146,CLT1561,P003,Nov 11 2022,9,3096,annulé,FES,virement,LIV13,Nov 13 2022
CMD00147,CLT1085,P032,07/03/2024,9,6163,OK,tanger,virement,LIV12,Mar 09 2024
CMD00148,CLT1068,P096,23/07/2023,7,4571,retourné,Casablanca,COD,LIV28,25/07/2023
CMD00149,CLT1571,P084,27/06/2022,5,6821,annulé,Marrakech,COD,LIV23,Jul 02 2022
CMD00150,CLT1339,P081,Aug 05 2024,3,14468,retourné,OUJDA,virement,LIV08,2024-08-11
CMD00151,CLT1627,P083,01/09/2022,5,9250,livre,Fès,cash,LIV24,04/09/2022
CMD00152,CLT0179,P088,2022-01-08,5,7843,DONE,casablanca,carte,LIV13,2022-01-15
CMD00153,CLT1487,P078,Sep 27 2022,3,10388,LIVRE,Rabat,virement,LIV22,2022-10-01
CMD00154,CLT1013,P007,2023-07-19,3,2764,OK,agadir,cash,LIV10,Jul 23 2023
CMD00155,CLT1280,P061,03/07/2022,2,1963,OK,RABAT,COD,LIV08,06/07/2022
CMD00156,CLT0206,P065,2023-11-19,9,14607,OK,marrakech,virement,LIV11,26/11/2023
CMD00157,CLT1169,P045,2022-11-15,9,11049,LIVRE,marrakech,carte,LIV03,Nov 16 2022
CMD00158,CLT0735,P007,25/06/2023,2,10395,LIVRE,RABAT,virement,LIV27,28/06/2023
CMD00159,CLT0802,P049,02/09/2024,7,14188,annulé,Fes,virement,LIV13,Sep 09 2024
CMD00160,CLT1185,P007,May 20 2022,10,2039,en_cours,Fes,carte,LIV13,May 25 2022
CMD00161,CLT0971,P033,Aug 09 2022,6,9247,en_cours,Tnja,carte,LIV06,2022-08-14
CMD00162,CLT0889,P040,Dec 06 2024,5,5531,KO,Marrakech,carte,LIV11,Dec 10 2024
CMD00163,CLT1445,P053,Dec 29 2023,4,1901,livré,RABAT,carte,LIV28,30/12/2023
CMD00164,CLT0929,P005,02/11/2024,2,1838,annulé,agadir,COD,LIV18,2024-11-06
CMD00165,CLT1505,P032,2023-09-14,2,13904,livré,agadir,carte,LIV17,2023-09-15
CMD00166,CLT0071,P059,2022-05-21,3,14676,DONE,Rabat,cash,LIV24,28/05/2022
CMD00167,CLT0092,P046,2022-07-07,6,2447,LIVRE,Oujda,COD,LIV22,2022-07-13
CMD00168,CLT1609,P039,2023-02-01,5,9627,livré,Tanger,COD,LIV19,2023-02-06
CMD00169,CLT1192,P097,06/12/2022,7,1318,LIVRE,agadir,virement,LIV20,2022-12-09
CMD00170,CLT1927,P019,2023-03-13,1,6305,KO,tanger,virement,LIV23,2023-03-19
CMD00171,CLT0991,P083,12/01/2022,5,13274,en_cours,marrakech,cash,LIV23,2022-01-17
CMD00172,CLT1373,P057,2024-01-31,10,1915,en_cours,Tnja,COD,LIV14,05/02/2024
CMD00173,CLT1152,P007,08/04/2022,8,11907,livré,CASABLANCA,cash,LIV13,12/04/2022
CMD00174,CLT1519,P062,Mar 08 2023,10,4146,DONE,Agadir,virement,LIV25,Mar 14 2023
CMD00175,CLT1730,P005,May 22 2023,9,7352,annulé,TNG,COD,LIV27,May 28 2023
CMD00176,CLT0487,P084,04/07/2022,2,7159,OK,Rabat,carte,LIV30,2022-07-10
CMD00177,CLT0440,P044,26/02/2022,2,1829,en_cours,Rabat,cash,LIV13,2022-03-02
CMD00178,CLT0243,P064,10/01/2022,1,13916,retourné,Tnja,cash,LIV19,Jan 15 2022
CMD00179,CLT1381,P097,Jul 27 2024,8,5993,DONE,Casablanca,cash,LIV05,31/07/2024
CMD00180,CLT1569,P075,Jun 10 2024,8,5273,OK,CASABLANCA,COD,LIV13,14/06/2024
CMD00181,CLT0813,P069,Jan 08 2022,3,6315,OK,Tnja,virement,LIV12,Jan 14 2022
CMD00182,CLT0164,P048,2024-09-15,10,9220,LIVRE,Oujda,carte,LIV02,20/09/2024
CMD00183,CLT0834,P097,2024-02-20,1,4599,DONE,Rabat,carte,LIV10,Feb 26 2024
CMD00184,CLT0271,P083,2023-03-06,3,8945,livré,Marrakech,carte,LIV11,Mar 09 2023
CMD00185,CLT0123,P093,17/06/2024,10,14221,retourné,Meknes,cash,LIV15,21/06/2024
CMD00186,CLT1051,P100,30/12/2023,3,12826,en_cours,TANGER,cash,LIV09,Jan 05 2024
CMD00187,CLT0654,P048,Jul 21 2022,7,4411,OK,OUJDA,cash,LIV18,2022-07-28
CMD00188,CLT0096,P093,2023-01-17,9,6769,OK,marrakech,COD,LIV30,2023-01-19
CMD00189,CLT1933,P050,2022-08-29,10,2471,KO,Agadir,carte,LIV09,2022-09-02
CMD00190,CLT0253,P050,19/03/2023,8,8835,livré,Fès,cash,LIV06,22/03/2023
CMD00191,CLT0532,P023,03/10/2023,5,9460,OK,casablanca,carte,LIV21,2023-10-07
CMD00192,CLT1325,P045,Jun 09 2023,9,13612,livré,Tnja,COD,LIV22,Jun 15 2023
CMD00193,CLT0889,P067,05/11/2022,8,2639,annulé,OUJDA,carte,,Nov 10 2022
CMD49269,CLT1087,P078,Jan 13 2024,2,2238,retourné,TNG,COD,LIV17,2024-01-20
CMD00195,CLT0614,P056,Nov 24 2023,2,10078,KO,Casablanca,COD,LIV11,2023-11-25
CMD00196,CLT1376,P029,2023-11-17,2,7775,DONE,Fès,virement,LIV08,2023-11-24
CMD00197,CLT0482,P032,Jan 20 2023,6,10109,KO,agadir,carte,LIV27,2023-01-25
CMD00198,CLT1650,P098,Feb 10 2022,6,5299,annulé,Marrakech,COD,LIV06,Feb 14 2022
CMD00199,CLT0716,P068,Jul 17 2023,10,11428,KO,Oujda,carte,LIV02,23/07/2023
CMD00200,CLT0106,P031,2024-05-28,5,3303,livré,Fès,COD,LIV18,2024-06-01
CMD00201,CLT1898,P072,2023-10-05,8,11901,KO,Casablanca,cash,LIV18,2023-10-11
CMD00202,CLT1777,P056,11/06/2022,7,5428,en_cours,Fes,COD,,16/06/2022
CMD00203,CLT1275,P027,2024-05-24,9,11599,en_cours,TNG,virement,LIV20,28/05/2024
CMD00204,CLT1926,P075,Dec 03 2023,3,5140,livré,marrakech,cash,LIV22,08/12/2023
CMD00205,CLT1872,P050,2022-05-09,4,2156,livre,Tanger,COD,LIV28,2022-05-12
CMD00206,CLT0819,P047,Jun 05 2024,9,14888,LIVRE,marrakech,cash,LIV12,Jun 12 2024
CMD00207,CLT1384,P089,2024-03-22,3,14174,en_cours,Oujda,carte,LIV29,24/03/2024
CMD00208,CLT1285,P022,2022-07-26,7,9334,annulé,CASABLANCA,cash,LIV16,2022-07-31
CMD00209,CLT0132,P004,16/08/2023,8,1450,retourné,Casablanca,COD,LIV12,Aug 17 2023
CMD00210,CLT0252,P007,21/02/2023,9,12841,OK,OUJDA,virement,LIV05,Feb 27 2023
CMD00211,CLT1670,P059,19/03/2022,2,5578,retourné,casablanca,COD,LIV08,26/03/2022
CMD00212,CLT1496,P091,2024-02-16,6,8898,LIVRE,Oujda,cash,LIV20,2024-02-21
CMD00213,CLT0878,P029,2022-01-03,7,9085,annulé,Oujda,cash,LIV07,Jan 04 2022
CMD00214,CLT1783,P096,Aug 14 2022,8,7884,en_cours,Agadir,carte,LIV17,2022-08-15
CMD00215,CLT0069,P076,Aug 23 2022,8,13176,OK,tanger,carte,LIV20,Aug 26 2022
CMD00216,CLT1770,P097,Feb 27 2024,6,12457,KO,FES,virement,LIV15,2024-02-28
CMD00217,CLT1614,P092,20/11/2024,9,12550,OK,Oujda,COD,LIV04,2024-11-24
CMD00218,CLT0954,P006,20/10/2024,1,14917,retourné,tanger,carte,LIV20,Oct 26 2024
CMD00219,CLT0307,P095,Oct 06 2023,10,6754,KO,Meknes,carte,LIV05,Oct 09 2023
CMD00220,CLT1404,P083,Mar 16 2023,10,8010,en_cours,Fès,carte,LIV01,2023-03-17
CMD00221,CLT0696,P044,31/10/2022,2,6280,en_cours,casablanca,virement,LIV05,05/11/2022
CMD00222,CLT1846,P029,Apr 16 2024,10,12900,en_cours,OUJDA,virement,LIV09,23/04/2024
CMD00223,CLT1465,P060,2023-08-06,5,13872,retourné,Casablanca,cash,LIV07,2023-08-12
CMD00224,CLT1925,P002,04/06/2024,3,380,KO,Tnja,carte,LIV11,Jun 08 2024
CMD00225,CLT0962,P051,2023-09-07,7,11328,DONE,FES,cash,LIV03,13/09/2023
CMD00226,CLT1412,P038,Feb 04 2024,7,4599,KO,Rabat,carte,LIV05,2024-02-10
CMD00227,CLT1090,P034,28/05/2024,10,3347,en_cours,Marrakech,COD,LIV08,02/06/2024
CMD00228,CLT0582,P083,May 19 2024,7,10253,LIVRE,Meknes,COD,LIV08,24/05/2024
CMD00229,CLT1981,P086,Jan 27 2022,1,11925,OK,casablanca,virement,LIV29,Jan 29 2022
CMD00230,CLT0621,P062,May 17 2024,7,10672,livré,FES,carte,LIV14,May 24 2024
CMD00231,CLT1117,P088,2023-03-18,6,13043,livre,CASABLANCA,cash,LIV13,Mar 20 2023
CMD00232,CLT0321,P021,12/08/2023,3,4129,livre,Meknes,COD,LIV27,18/08/2023
CMD00233,CLT1722,P055,Feb 24 2022,5,7654,OK,agadir,cash,LIV10,2022-02-28
CMD00234,CLT1694,P029,05/08/2023,10,7760,KO,Tanger,virement,LIV08,10/08/2023
CMD00235,CLT1916,P043,2023-07-04,4,3897,LIVRE,TANGER,COD,LIV12,06/07/2023
CMD00236,CLT0361,P012,26/05/2024,7,1930,livré,meknès,virement,LIV15,2024-05-30
CMD00237,CLT1487,P049,Sep 30 2024,10,13833,en_cours,TNG,cash,,2024-10-02
CMD00238,CLT0534,P082,27/03/2024,6,11342,annulé,meknès,COD,LIV24,2024-03-30
CMD00239,CLT0925,P026,2023-07-07,8,11301,livré,TANGER,virement,LIV04,2023-07-09
CMD00240,CLT0601,P081,12/12/2022,1,6382,en_cours,Tanger,COD,LIV14,Dec 15 2022
CMD00241,CLT0464,P020,13/03/2022,4,5348,annulé,Fes,COD,LIV10,14/03/2022
CMD00242,CLT0648,P072,Nov 23 2022,5,3100,OK,CASABLANCA,COD,LIV02,2022-11-26
CMD00243,CLT1272,P051,Oct 24 2024,4,2101,en_cours,Oujda,virement,LIV15,31/10/2024
CMD00244,CLT0277,P022,19/02/2022,5,12617,annulé,casablanca,carte,LIV20,2022-02-21
CMD00245,CLT1357,P044,Mar 11 2023,8,13606,annulé,Rabat,COD,,12/03/2023
CMD00246,CLT1277,P078,06/11/2024,10,12028,en_cours,CASABLANCA,carte,LIV03,10/11/2024
CMD00247,CLT1461,P027,Sep 04 2024,10,11424,en_cours,Tanger,cash,LIV08,2024-09-08
CMD00248,CLT0456,P072,19/01/2024,3,9711,livre,RABAT,virement,LIV22,2024-01-23
CMD00249,CLT0388,P070,26/07/2022,3,9299,KO,Rabat,COD,LIV18,Aug 01 2022
CMD00250,CLT0863,P086,2023-12-03,2,14972,DONE,agadir,cash,LIV18,08/12/2023
CMD00251,CLT1792,P065,25/01/2024,3,4227,livre,Tanger,virement,LIV11,2024-01-28
CMD00252,CLT0583,P001,2023-09-15,5,12612,DONE,marrakech,virement,LIV16,18/09/2023
CMD00253,CLT0984,P005,2024-08-01,1,4450,DONE,Oujda,virement,LIV23,Aug 07 2024
CMD00254,CLT1963,P049,2024-12-16,1,2608,livre,marrakech,COD,LIV10,21/12/2024
CMD00255,CLT0152,P057,Mar 07 2022,6,176,DONE,CASABLANCA,virement,LIV20,14/03/2022
CMD00256,CLT1104,P049,Aug 05 2022,7,5016,en_cours,Marrakech,COD,LIV01,07/08/2022
CMD00257,CLT0740,P019,14/01/2023,10,4749,DONE,Fès,COD,LIV16,2023-01-19
CMD00258,CLT0381,P045,Oct 21 2022,3,4387,livre,CASABLANCA,COD,LIV04,Oct 26 2022
CMD00259,CLT0728,P080,2024-08-18,8,7629,DONE,agadir,COD,LIV16,21/08/2024
CMD00260,CLT0515,P071,Jul 15 2023,3,11730,LIVRE,RABAT,virement,LIV14,20/07/2023
CMD00261,CLT1917,P080,29/06/2022,3,12082,livré,Tnja,COD,LIV28,06/07/2022
CMD00262,CLT1299,P054,2022-04-01,1,13298,livre,CASABLANCA,virement,LIV14,Apr 03 2022
CMD00263,CLT1087,P011,Aug 20 2024,6,12954,DONE,Tnja,virement,LIV22,Aug 25 2024
CMD00264,CLT1012,P077,29/12/2023,9,10158,retourné,meknès,virement,LIV19,2024-01-01
CMD00265,CLT1915,P009,Feb 28 2022,10,7781,livre,meknès,cash,LIV21,02/03/2022
CMD00266,CLT0305,P085,2024-02-22,6,5282,en_cours,TANGER,COD,LIV24,Feb 23 2024
